Product Name: Computer
Product Quantity: 30
Product Price: 3000
----------------------
Product Name: Laptop
Product Quantity: 23
Product Price: 7000
----------------------
Product Name: Mobile
Product Quantity: 41
Product Price: 10000
----------------------
Product Name: Car
Product Quantity: 2
Product Price: 3000000
----------------------
Product Name: Bike
Product Quantity: 7
Product Price: 800000
----------------------
Product Name: House
Product Quantity: 1
Product Price: 10000000
----------------------
Product Name: Van
Product Quantity: 5
Product Price: 3412000
----------------------
Product Name: Battery
Product Quantity: 100
Product Price: 4000
----------------------
Product Name: Fan
Product Quantity: 25
Product Price: 1000
----------------------
Product Name: Bus
Product Quantity: 34
Product Price: 3500000
----------------------
Product Name: Samsung
Product Quantity: 30
Product Price: 123000
----------------------
Product Name: Xiaomi Redmi Note 12 Pro 5g
Product Quantity: 5
Product Price: 65000
----------------------
Product Name: Console
Product Quantity: 1
Product Price: 45000
----------------------
